ID	Q1	Q3	RT	DP	CE	Compound name	Classes	Identification	SMILES	InChI	Library ID	keggID	Molecular formula	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Ionization model	Precursor ions (Q1)	Product ions (Q3)	Q4	Q5	Q6	Q7	Q8
mr1320	106.1	60	1.1	70	30	Serine	Amino acid derivative	standard	NC(CO)C(=O)O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	MS000000409	C00065	C3H7NO3	105.093	105.0426	477.4	H+	106.0498	60	88	70			
PS068208	175.062	115	2	-80	-20	Vitamin C	Vitamin	standard	O=C1OC(C(O)CO)C(O)=C1O	InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2	MS000000285	C00072	C6H8O6	176.124	176.0321	211	H-	175.0616	115	87	59	99	71	127
mr1332	150.1	61.2	1.8	30	10	Methionine	Amino acid derivative	standard	CSCCC(N)C(=O)O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	MS000000412	C00073	C5H11NO2S	149.215	149.051	280.1	H+	150.0583	61.2	104.3	75	81	53.9	
mr175	133.1	70.1	0.9	30	40	Ornithine	Amino acid derivative	standard	NCCCC(N)C(=O)O	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)	MS000000447	C00077	C5H12N2O2	132.163	132.0899	21.6	H+	133.0972	70.1	116	68	97		
mr1346	205.1	146.2	4.7	10	50	Tryptophan	Amino acid derivative	standard	NC(Cc1c[nH]c2ccccc12)C(=O)O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	MS000000358	C00078	C11H12N2O2	204.229	204.0899	14	H+	205.0978	146.2	118.1	170.3	188.2	91	
mr1335	166.1	120.1	4.3	30	50	Phenylalanine	Amino acid derivative	putative	NC(Cc1ccccc1)C(=O)O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	MS000000008	C00079	C9H11NO2	165.192	165.079	83.3	H+	166.0863	120.1	103.7	93.4	72.2		
mr1338	182.1	91.2	2.6	50	10	Tyrosine	Amino acid derivative	standard	NC(Cc1ccc(O)cc1)C(=O)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	MS000001681	C00082	C9H11NO3	181.191	181.0739	104.1	H+	182.0812	91.2	136.2	119.3	76.9	136.2	
Sucrose	341	179	1.3	-40	-30	Sucrose	Sugar	standard	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2	MS000001056	C00089	C12H22O11	342.297	342.1162	318.5								
mr798	122	105	4.2	70	20	Cysteine	Amino acid derivative	standard	NC(CS)C(=O)O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	MS000000948	C00097	C3H7NO2S	121.161	121.0197	222.7	H+	122.027	105	59	76	87		
mr3088	113	96	3.8	50	30	Uracil	Nucleic acid derivative	standard	Oc1ccnc(O)n1	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	MS000001894	C00106	C4H4N2O2	112.088	112.0273	308.4	H+	113.0344	96	67.1	57	85	64.8	
mr1186	104.1	60.1	1.1	70	50	Choline	Vitamin	standard	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	MS000007637	C00114	C5H14NO+	104.173	104.107	9742.4	H+	104.1068	60.1	83	59.1	56.2		
mr1325	132.1	86.1	2.4	20	40	Leucine	Amino acid derivative	standard	CC(C)CC(N)C(=O)O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)	MS000000006	C00123	C6H13NO2	131.175	131.0946	14.1	H+	132.1019	86.1	69.1	67.1	56.1		
mr2155	613.2	484.1	4.1	10	30	Glutathione (oxidized form)	Amino acid derivative	putative	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O	InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)	MS000006322	C00127	C20H32N6O12S2	612.64	612.152	66.6	H+	613.1598	484.1	355	231	177		
mr1333	156.1	110.1	0.9	80	10	Histidine	Amino acid derivative	standard	NC(Cc1cnc[nH]1)C(=O)O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)	MS000000403	C00135	C6H9N3O2	155.157	155.0695	149.9	H+	156.0767	110.1	93.1	83.1	67.4		
mr2126	364.1	152.1	4.3	70	10	Guanosine 5'-monophosphate	Nucleic acid derivative	standard	N=c1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)	MS000007703	C00144	C10H14N5O8P	363.223	363.058	95.7	H+	364.1	152.1	251	135			
mr1267	136.1	119	2.7	80	10	Adenine	Nucleic acid derivative	standard	Nc1nc[nH]c2ncnc1-2	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	MS000000261	C00147	C5H5N5	135.13	135.0545	283.2	H+	136.0618	119	109.1				
mr1321	116.1	70	1.3	10	60	Proline	Amino acid derivative	standard	O=C(O)C1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	MS000000469	C00148	C5H9NO2	115.132	115.0633	255.9	H+	116.0706	70	66.6	63.9			
mr2164	133.014	115	2	-10	-30	Malic acid	Organic acid	standard	O=C(O)CC(O)C(=O)O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	MS000000935	C00149	C4H6O5	134.087	134.0215	1.9	H-	133.0145	115	71	59	89	87	
mr1438	133.1	74	1.2	80	50	Asparagine	Amino acid derivative	standard	N=C(O)CC(N)C(=O)O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	MS000000286	C00152	C4H8N2O3	132.119	132.0535	297.2	H+	133.0606	74	123.1	112.1	83.1		
S16-0068	298.1	136.2	5.2	40	10	5'-S-Methyl-5'-thioadenosine	Nucleic acid derivative	putative	CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)	MS000000225	C00170	C11H15N5O3S	297.34	297.0896	10.6	H+	298.0968	136.1	61	75	145	97	163
mr1449	131.1	114.1	1.2	80	20	Agmatine	Phenolamide	standard	N=C(N)NCCCCN	InChI=1S/C5H14N4/c6-3-1-2-4-9-5(7)8/h1-4,6H2,(H4,7,8,9)	MS000000267	C00179	C5H14N4	130.195	130.1218	223.3	H+	131.1288	114.1	72	85			
mr864	123	95	6.3	40	20	Benzoic acid	Polyphenol	putative	O=C(O)c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)	MS000006798	C00180	C7H6O2	122.123	122.0368	361	H+	123.0439	95	81.1	53	67.1	79.1	105
Xylose	149	59	1.2	-40	-30	Xylose	Sugar	standard	OC1COC(O)C(O)C1O	InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2	MS000002681	C00181	C5H10O5	150.13	150.0528	303.6								
mr1322	118.1	72.2	1.4	20	40	Valine	Amino acid derivative	standard	CC(C)C(N)C(=O)O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)	MS000000621	C00183	C5H11NO2	117.148	117.079	117.4	H+	118.0862	72.2	69.9	52.4			
mr1323	120.1	74	1.2	20	30	Threonine	Amino acid derivative	standard	CC(O)C(N)C(=O)O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)	MS000000324	C00188	C4H9NO3	119.12	119.0582	290.2	H+	120.065	74	55.8				
mr1462	365.1	203.3	1.4	20	10	Maltose	Sugar	standard	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2	MS000004183	C00208	C12H22O11	342.297	342.1162	64237.1	Na+	365.1052	203.3	185	245	173		
Arabinose	149	89	1.3	-40	-30	Arabinose	Sugar	standard	OC1COC(O)C(O)C1O	InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2	MS000002681	C00216	C5H10O5	150.13	150.0528	303.6								
mr804	152.1	135	2.5	10	50	Guanine	Nucleic acid derivative	standard	N=c1nc(O)c2nc[nH]c2[nH]1	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	MS000000374	C00242	C5H5N5O	151.129	151.0494	287	H+	152.0566	135	110	77	91.1	53	103.1
mr216	343.1	163.2	1.4	70	10	Lactose	Sugar	standard	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2	MS000004183	C00243	C12H22O11	342.297	342.1162	68.5	H+	343.1239	163.2	262.2	251.2	181.1		
mr799	124	80	2.6	60	20	Nicotinic acid	Vitamin	standard	O=C(O)c1cccnc1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	MS000000438	C00253	C6H5NO2	123.111	123.032	319	H+	124.0392	80	96	78	112	101	68
mr1126	377.1	243.1	5.7	30	30	Vitamin B2	Vitamin	standard	Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)	MS000000492	C00255	C17H20N4O6	376.369	376.1383	121.1	H+	377.1456	243.1	216.1	198.2	172.3	145.3	
mr2187	195.051	75	1.3	-30	-10	Galactonic acid	Organic acid	putative	O=C(O)C(O)C(O)C(O)C(O)CO	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)	MS000000861	C00257	C6H12O7	196.155	196.0583	0.3	H-	195.0513	75	85	99	129	159	89
mr781	310.1	292.1	1.4	70	20	N-acetylneuraminic acid	Organic acid	putative	CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO	InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)	MS000000881	C00270	C11H19NO9	309.271	309.106	42.9	H+	310.1128	292.1	84	130	97	274.1	226.1
mr1160	193.1	111	2	20	10	Quinic acid	Organic acid	standard	O=C(O)C1(O)CC(O)C(O)C(O)C1	InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)	MS000000319	C00296	C7H12O6	192.167	192.0634	152.8	H+	193.0706	111	129	157	139.1		
mr1158	170.1	134.1	1.8	40	30	Pyridoxine	Vitamin	standard	Cc1ncc(CO)c(CO)c1O	InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3	MS000000478	C00314	C8H11NO3	169.18	169.0739	111.5	H+	170.0818	134.1	152.1	124.1	106.1		
p0338	146.2	72.1	1.1	40	30	Spermidine	Phenolamide	putative	NCCCCNCCCN	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	MS000006789	C00315	C7H19N3	145.25	145.1579	240.1								
mr183	162.1	83.9	1	80	20	Carnitine	Other	putative	C[N+](C)(C)CC(O)CC(=O)[O-]	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3	MS000007672	C00318	C7H15NO3	161.201	161.1052	77.3	H+	162.1125	83.9	125	101			
mr677	209.1	146.1	4.3	80	40	Kynurenine	Amino acid derivative	putative	Nc1ccccc1C(=O)CC(N)C(=O)O	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	MS000000407	C00328	C10H12N2O3	208.217	208.0848	38.2	H+	209.092	146.1	91.1	94.1	65	120	
mr805	180.1	162.1	0.8	20	20	Glucosamine	Sugar	putative	NC1C(O)OC(CO)C(O)C1O	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2	MS000001320	C00329	C6H13NO5	179.172	179.0794	74.5	H+	180.0866	162.1	84	72	60	96	
tZ	220.2	136.1	4.6	58	25	trans-Zeatin	Phytohormone derivative	standard	CC(=CCNc1nc[nH]c2ncnc1-2)CO	InChI=1S/C10H13N5O/c1-7(4-16)2-3-11-9-8-10(13-5-12-8)15-6-14-9/h2,5-6,16H,3-4H2,1H3,(H2,11,12,13,14,15)	MS000000903	C00371	C10H13N5O	219.248	219.112	368.5								
mr1192	265.1	122.1	1.3	80	20	Thiamin	Vitamin	standard	Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1	InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1	MS000007609	C00378	C12H17N4OS+	265.362	265.1118	3843.9	protonated	265.112	122.1	175.1	144.1	113.1	81.1	
mr649	153	110	3.5	30	20	Xanthine	Nucleic acid derivative	standard	Oc1nc(O)c2nc[nH]c2n1	InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)	MS000000628	C00385	C5H4N4O2	152.113	152.0334	267.4	H+	153.0407	110	136	125.1			
p0116	112.2	70.1	1.3	40	30	Histamine	Amino acid derivative	putative	NCCc1cnc[nH]1	InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)	MS000000965	C00388	C5H9N3	111.148	111.0796	1018.6								
mr2179	181.072	71	1.1	-30	-50	Mannitol	Sugar	standard	OCC(O)C(O)C(O)C(O)CO	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2	MS000000828	C00392	C6H14O6	182.172	182.079	1.4	H-	181.0722	71	59	101	89	73	85
mr1425	161.1	144.2	4.4	50	30	Tryptamine	Amino acid derivative	standard	NCCc1c[nH]c2ccccc12	InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2	MS000000981	C00398	C10H12N2	160.22	160.1	45.3	H+	161.1071	144.2	102.1	91.1			
mr1326	132.1	86.2	2.4	40	40	Isoleucine	Amino acid derivative	standard	CCC(C)C(N)C(=O)O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)	MS000000007	C00407	C6H13NO2	131.175	131.0946	14.1	H+	132.1019	86.2	69.1	67.1	56.1		
mr490	130.1	84.1	1.2	80	60	Pipecolinic acid	Other	putative	O=C(O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)	MS000000459	C00408	C6H11NO2	129.159	129.079	106.5	H+	130.0862	84.1	103.2	98.2	69.2		
mr208	277.1	84.1	1.3	50	20	Saccharopine	Amino acid derivative	putative	NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O	InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)	MS000000408	C00449	C11H20N2O6	276.289	276.1321	142.5	H+	277.1394	84.1	259.2	213.2	201.1	130.2	
mr3093	118.1	58	3.8	70	50	Indole	Phytohormone derivative	standard	c1ccc2[nH]ccc2c1	InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H	MS000006921	C00463	C8H7N	117.151	117.0578	298.6	H+	118.0651	58	91.1	65	89		
mr1050	225.1	147.1	5.7	80	20	Sinapic acid	Polyphenol	standard	COc1cc(C=CC(=O)O)cc(OC)c1O	InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)	MS000000834	C00482	C11H12O5	224.212	224.0685	108.2	H+	225.0758	147.1	207.1	192.1	175.1	119.1	
mr1446	138.1	121.1	1.8	80	10	Tyramine	Amino acid derivative	standard	NCCc1ccc(O)cc1	InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2	MS000001294	C00483	C8H11NO	137.182	137.0841	63.1	H+	138.0914	121.1	103.1	93	91		
S15-0195	522.2	325.1	1.8	80	10	Raffinose	Sugar	putative	OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2	MS000001082	C00492	C18H32O16	504.438	504.169	33766	NH4+	522.2029	325.1	343.1	127	487.2	307.1	289.1
mr4019	187	82	1.3	80	20	Rhamnose	Sugar	standard	CC1OC(O)C(O)C(O)C1O	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3	MS000009951	C00507	C6H12O5	164.157	164.0685	133628.6	Na+	187	82	160				
mr200	223.1	88.1	1.1	70	30	Cystathionine	Other	putative	NC(CCSCC(N)C(=O)O)C(=O)O	InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)	MS000000352	C00542	C7H14N2O4S	222.266	222.0674	114.2	H+	223.0747	88.1	211	177	134		
mr204	252.1	136.1	4.2	80	10	2'-Deoxyadenosine	Nucleic acid derivative	putative	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1	InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)	MS000000142	C00559	C10H13N5O3	251.246	251.1018	36	H+	252.1097	136.1	117.1	99	73	69	
mr807	184	125	0.8	60	10	O-Phosphocholine	Other	standard	C[N+](C)(C)CCOP(=O)([O-])O	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)	MS000008346	C00588	C5H14NO4P	183.144	183.066	400.1	H+	184	125	166.1	104	98.9		
p0137	190.1	130.1	1.3	40	30	N-Acetyl-L-glutamic acid	Amino acid derivative	putative	CC(=O)NC(CCC(=O)O)C(=O)O	InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)	MS000000429	C00624	C7H11NO5	189.167	189.0637	153.7								
mr2161	121.03	77	7.7	-40	-10	4-Hydroxybenzaldehyde	Polyphenol	standard	O=Cc1ccc(O)cc1	InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H	MS000006797	C00633	C7H6O2	122.123	122.0368	3.7	H-	121.0295	77	93	108	65	91	
mr2070	221.1	204.1	4.3	60	20	5-Hydroxytryptophan	Amino acid derivative	standard	NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)	MS000000226	C00643	C11H12N2O3	220.228	220.0848	36.1	H+	221.0921	204.1	186.1	162	175.1	148.1	90
mr1454	191.1	84.1	1.3	40	30	Diaminopimelic acid	Other	putative	NC(CCCC(N)C(=O)O)C(=O)O	InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)	MS000000829	C00666	C7H14N2O4	190.199	190.0954	13.9	H+	191.1026	84.1	128	82			
p0344	251.1	84.1	0.8	40	30	Glutamylcysteine	Amino acid derivative	putative	NC(CCC(=O)NC(CS)C(=O)O)C(=O)O	InChI=1S/C8H14N2O5S/c9-4(7(12)13)1-2-6(11)10-5(3-16)8(14)15/h4-5,16H,1-3,9H2,(H,10,11)(H,12,13)(H,14,15)	MS000006826	C00669	C8H14N2O5S	250.276	250.0623	121.8								
mr1364	258.1	104.2	1.2	10	60	sn-Glycero-3-phosphocholine	Lipid	standard	C[N+](C)(C)CCOP(=O)([O-])OCC(O)CO	InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3	MS000009702	C00670	C8H20NO6P	257.223	257.1028	39.1	protonated	258.1111	104.2	240.2	184.2	125.1	99.1	
mr169	118.1	59	1.3	40	60	Betaine	Other	standard	C[N+](C)(C)CC(=O)[O-]	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	MS000007669	C00719	C5H11NO2	117.148	117.079	117.4	protonated	118.0862	59	72				
mr817	203.2	84.1	0.8	50	40	Spermine	Phenolamide	standard	NCCCNCCCCNCCCN	InChI=1S/C10H26N4/c11-5-3-9-13-7-1-2-8-14-10-4-6-12/h13-14H,1-12H2	MS000000500	C00750	C10H26N4	202.346	202.2157	113.5	H+	203.223	84.1	186.3	128.7	112		
mr1511	153.1	65.1	6.7	50	20	Vanillin	Polyphenol	putative	COc1cc(C=O)ccc1O	InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3	MS000001893	C00755	C8H8O3	152.149	152.0473	298.9	H+	153.0546	65.1	136.1	110	93.1	81.1	
